Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-44-37,247,247,0
2023-03-17-18-44-37,247,247,0
2023-03-17-18-44-37,247,247,0
2023-03-17-18-44-37,248,247.25,0
2023-03-17-18-44-37,251,248,0
2023-03-17-18-44-37,253,248.833,0
2023-03-17-18-44-37,254,249.571,0
2023-03-17-18-44-37,254,250.125,0
2023-03-17-18-44-37,253,250.444,0
2023-03-17-18-44-37,253,250.7,0
2023-03-17-18-44-37,254,251.4,0
2023-03-17-18-44-37,255,252.2,0
2023-03-17-18-44-37,255,253,0
2023-03-17-18-44-37,254,253.6,0
2023-03-17-18-44-37,251,253.6,0
2023-03-17-18-44-37,249,253.2,0
2023-03-17-18-44-37,247,252.5,0
2023-03-17-18-44-37,247,251.8,0
2023-03-17-18-44-37,248,251.3,0
2023-03-17-18-44-37,250,251,0
2023-03-17-18-44-37,251,250.7,0
2023-03-17-18-44-37,251,250.3,0
2023-03-17-18-44-38,253,250.1,0
2023-03-17-18-44-38,254,250.1,0
2023-03-17-18-44-38,261,251.1,0
2023-03-17-18-44-38,268,253,0
2023-03-17-18-44-38,275,255.8,0
2023-03-17-18-44-38,275,258.6,0
2023-03-17-18-44-38,275,261.3,0
2023-03-17-18-44-38,274,263.7,0
2023-03-17-18-44-38,273,265.9,0
2023-03-17-18-44-38,270,267.8,0
2023-03-17-18-44-38,265,269,0
2023-03-17-18-44-38,260,269.6,0
2023-03-17-18-44-38,257,269.2,0
2023-03-17-18-44-38,261,268.5,0
2023-03-17-18-44-38,264,267.4,0
2023-03-17-18-44-38,266,266.5,0
2023-03-17-18-44-38,262,265.2,0
2023-03-17-18-44-38,255,263.3,0
2023-03-17-18-44-38,245,260.5,0
2023-03-17-18-44-38,238,257.3,0
2023-03-17-18-44-38,235,254.3,0
2023-03-17-18-44-38,238,252.1,0
2023-03-17-18-44-38,240,250.4,0
2023-03-17-18-44-38,243,248.6,0
2023-03-17-18-44-38,218,244,0
2023-03-17-18-44-38,225,239.9,0
2023-03-17-18-44-38,233,237,0
2023-03-17-18-44-39,237,235.2,0
2023-03-17-18-44-39,237,234.4,0
2023-03-17-18-44-39,234,234,0
2023-03-17-18-44-39,236,234.1,0
2023-03-17-18-44-39,242,234.5,0
2023-03-17-18-44-39,274,237.9,0
2023-03-17-18-44-39,272,240.8,0
2023-03-17-18-44-39,263,245.3,0
2023-03-17-18-44-39,257,248.5,0
2023-03-17-18-44-39,253,250.5,0
2023-03-17-18-44-39,245,251.3,0
2023-03-17-18-44-39,235,251.1,0
2023-03-17-18-44-39,221,249.8,0
2023-03-17-18-44-39,210,247.2,0
2023-03-17-18-44-39,197,242.7,0
2023-03-17-18-44-39,193,234.6,0
2023-03-17-18-44-39,188,226.2,0
2023-03-17-18-44-39,187,218.6,0
2023-03-17-18-44-39,191,212,0
2023-03-17-18-44-39,193,206,0
2023-03-17-18-44-39,205,202,0
2023-03-17-18-44-39,237,202.2,0
2023-03-17-18-44-39,271,207.2,0
2023-03-17-18-44-39,292,215.4,0
2023-03-17-18-44-39,293,225,0
2023-03-17-18-44-39,276,233.3,0
2023-03-17-18-44-39,258,240.3,0
2023-03-17-18-44-39,251,246.7,0
2023-03-17-18-44-40,235,251.1,0
2023-03-17-18-44-40,195,251.3,0
2023-03-17-18-44-40,156,246.4,0
2023-03-17-18-44-40,128,235.5,0
2023-03-17-18-44-40,121,235.5,0
2023-03-17-18-44-40,123,235.5,0
2023-03-17-18-44-40,129,235.5,0
2023-03-17-18-44-40,132,235.5,0
2023-03-17-18-44-40,136,235.5,0
2023-03-17-18-44-40,149,235.5,0
2023-03-17-18-44-40,177,235.5,0
2023-03-17-18-44-40,219,235.5,0
2023-03-17-18-44-40,266,235.5,1
2023-03-17-18-44-40,300,235.5,0
2023-03-17-18-44-40,290,235.5,0
2023-03-17-18-44-40,281,235.5,0
2023-03-17-18-44-40,298,235.5,0
2023-03-17-18-44-40,364,235.5,0
2023-03-17-18-44-40,462,235.5,0
2023-03-17-18-44-40,502,235.5,0
2023-03-17-18-44-40,475,235.5,0
2023-03-17-18-44-40,406,235.5,0
2023-03-17-18-44-40,347,235.5,0
2023-03-17-18-44-40,296,235.5,0
2023-03-17-18-44-40,266,235.5,0
2023-03-17-18-44-40,214,235.5,0
2023-03-17-18-44-40,99,235.5,0
2023-03-17-18-44-41,-12,235.5,0
2023-03-17-18-44-41,-37,204.7,0
2023-03-17-18-44-41,35,204.7,0
2023-03-17-18-44-41,191,204.7,1
2023-03-17-18-44-41,366,204.7,0
2023-03-17-18-44-41,493,204.7,0
2023-03-17-18-44-41,542,204.7,0
2023-03-17-18-44-41,561,204.7,0
2023-03-17-18-44-41,551,204.7,0
2023-03-17-18-44-41,543,204.7,0
2023-03-17-18-44-41,500,204.7,0
2023-03-17-18-44-41,387,204.7,0
2023-03-17-18-44-41,228,204.7,0
2023-03-17-18-44-41,83,204.7,0
2023-03-17-18-44-41,45,204.7,0
2023-03-17-18-44-41,80,204.7,0
2023-03-17-18-44-41,188,204.7,0
2023-03-17-18-44-41,247,204.7,0
2023-03-17-18-44-41,280,204.7,0
2023-03-17-18-44-41,301,205.6,0
2023-03-17-18-44-42,330,209.3,0
2023-03-17-18-44-42,349,216.6,0
2023-03-17-18-44-42,327,223.5,0
2023-03-17-18-44-42,302,228.6,0
2023-03-17-18-44-42,271,232.2,0
2023-03-17-18-44-42,252,237.9,0
2023-03-17-18-44-42,256,247.9,0
2023-03-17-18-44-42,276,262.7,0
2023-03-17-18-44-42,291,295.5,0
2023-03-17-18-44-42,311,296.5,0
2023-03-17-18-44-42,332,296.7,0
2023-03-17-18-44-42,321,293.9,0
2023-03-17-18-44-42,300,291.2,0
2023-03-17-18-44-42,301,291.1,0
2023-03-17-18-44-42,300,294,0
2023-03-17-18-44-42,310,299.8,0
2023-03-17-18-44-42,323,306.5,0
2023-03-17-18-44-43,305,309.4,0
2023-03-17-18-44-43,278,308.1,0
2023-03-17-18-44-43,274,304.4,0
2023-03-17-18-44-43,286,299.8,0
2023-03-17-18-44-43,281,295.8,0
2023-03-17-18-44-43,275,293.3,0
2023-03-17-18-44-43,259,289.1,0
2023-03-17-18-44-43,252,284.3,0
2023-03-17-18-44-43,270,280.3,0
2023-03-17-18-44-43,286,276.6,0
2023-03-17-18-44-43,289,275,0
2023-03-17-18-44-43,282,275.4,0
2023-03-17-18-44-43,274,275.4,0
2023-03-17-18-44-43,270,273.8,0
2023-03-17-18-44-43,271,272.8,0
2023-03-17-18-44-43,272,272.5,0
2023-03-17-18-44-43,272,273.8,0
2023-03-17-18-44-44,276,276.2,0
2023-03-17-18-44-44,273,276.5,0
2023-03-17-18-44-44,266,274.5,0
2023-03-17-18-44-44,263,271.9,0
2023-03-17-18-44-44,266,270.3,0
2023-03-17-18-44-44,276,270.5,0
2023-03-17-18-44-44,279,271.4,0
2023-03-17-18-44-44,268,271.1,0
2023-03-17-18-44-44,258,269.7,0
2023-03-17-18-44-44,262,268.7,0
2023-03-17-18-44-44,274,268.5,0
2023-03-17-18-44-44,274,268.6,0
2023-03-17-18-44-44,253,267.3,0
