Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-38-21,364,356.4,0
2023-03-17-18-38-21,366,357,0
2023-03-17-18-38-21,367,357.9,0
2023-03-17-18-38-21,350,357.6,0
2023-03-17-18-38-21,329,355.7,0
2023-03-17-18-38-21,314,351.7,0
2023-03-17-18-38-21,295,345.8,0
2023-03-17-18-38-21,278,338.3,0
2023-03-17-18-38-21,259,328.4,0
2023-03-17-18-38-21,237,315.9,0
2023-03-17-18-38-21,209,300.4,0
2023-03-17-18-38-21,183,282.1,0
2023-03-17-18-38-21,169,262.3,0
2023-03-17-18-38-22,162,243.5,0
2023-03-17-18-38-22,151,225.7,0
2023-03-17-18-38-22,147,209,0
2023-03-17-18-38-22,150,194.5,0
2023-03-17-18-38-22,162,182.9,0
2023-03-17-18-38-22,199,176.9,0
2023-03-17-18-38-22,231,176.3,0
2023-03-17-18-38-22,266,182,0
2023-03-17-18-38-22,300,193.7,0
2023-03-17-18-38-22,322,209,0
2023-03-17-18-38-22,347,227.5,0
2023-03-17-18-38-22,374,249.8,0
2023-03-17-18-38-22,388,273.9,0
2023-03-17-18-38-22,381,297,0
2023-03-17-18-38-22,385,319.3,0
2023-03-17-18-38-22,383,337.7,0
2023-03-17-18-38-22,376,352.2,0
2023-03-17-18-38-23,384,364,0
2023-03-17-18-38-23,373,371.3,0
2023-03-17-18-38-23,375,376.6,0
2023-03-17-18-38-23,382,380.1,0
2023-03-17-18-38-23,377,380.4,0
2023-03-17-18-38-23,384,380,0
2023-03-17-18-38-23,396,381.5,0
2023-03-17-18-38-23,388,381.8,0
2023-03-17-18-38-23,380,381.5,0
2023-03-17-18-38-23,384,382.3,0
2023-03-17-18-38-23,369,380.8,0
2023-03-17-18-38-23,352,378.7,0
2023-03-17-18-38-23,353,376.5,0
2023-03-17-18-38-23,333,371.6,0
2023-03-17-18-38-23,314,365.3,0
2023-03-17-18-38-23,310,357.9,0
2023-03-17-18-38-23,303,348.6,0
2023-03-17-18-38-24,298,339.6,0
2023-03-17-18-38-24,284,330,0
2023-03-17-18-38-24,275,319.1,0
2023-03-17-18-38-24,275,309.7,0
2023-03-17-18-38-24,278,302.3,0
2023-03-17-18-38-24,262,293.2,0
2023-03-17-18-38-24,247,284.6,0
2023-03-17-18-38-24,239,277.1,0
2023-03-17-18-38-24,224,268.5,0
2023-03-17-18-38-24,206,258.8,0
2023-03-17-18-38-24,192,248.2,0
2023-03-17-18-38-24,178,237.6,0
2023-03-17-18-38-24,159,226,0
2023-03-17-18-38-24,152,213.7,0
2023-03-17-18-38-24,142,200.1,0
2023-03-17-18-38-24,128,186.7,0
2023-03-17-18-38-24,122,174.2,0
2023-03-17-18-38-24,118,162.1,0
2023-03-17-18-38-25,100,149.7,0
2023-03-17-18-38-25,87,137.8,0
2023-03-17-18-38-25,80,126.6,0
2023-03-17-18-38-25,83,117.1,0
2023-03-17-18-38-25,85,109.7,0
2023-03-17-18-38-25,84,102.9,0
2023-03-17-18-38-25,71,95.8,0
2023-03-17-18-38-25,59,88.9,0
2023-03-17-18-38-25,64,83.1,0
2023-03-17-18-38-25,56,76.9,0
2023-03-17-18-38-25,54,72.3,0
2023-03-17-18-38-25,44,68,0
2023-03-17-18-38-25,39,63.9,0
2023-03-17-18-38-25,41,59.7,0
