Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-49-13,239,239,0
2023-03-17-18-49-13,248,243.5,0
2023-03-17-18-49-13,255,247.333,0
2023-03-17-18-49-13,251,248.25,0
2023-03-17-18-49-13,237,246,0
2023-03-17-18-49-13,226,242.667,0
2023-03-17-18-49-13,230,240.857,0
2023-03-17-18-49-13,236,240.25,0
2023-03-17-18-49-13,245,240.778,0
2023-03-17-18-49-13,246,241.3,0
2023-03-17-18-49-13,244,241.8,0
2023-03-17-18-49-13,243,241.3,0
2023-03-17-18-49-13,251,240.9,0
2023-03-17-18-49-13,256,241.4,0
2023-03-17-18-49-13,255,243.2,0
2023-03-17-18-49-13,249,245.5,0
2023-03-17-18-49-13,236,246.1,0
2023-03-17-18-49-13,236,246.1,0
2023-03-17-18-49-13,235,245.1,0
2023-03-17-18-49-13,251,245.6,0
2023-03-17-18-49-13,270,248.2,0
2023-03-17-18-49-13,286,252.5,0
2023-03-17-18-49-14,293,256.7,0
2023-03-17-18-49-14,293,260.4,0
2023-03-17-18-49-14,295,264.4,0
2023-03-17-18-49-14,286,268.1,0
2023-03-17-18-49-14,281,272.6,0
2023-03-17-18-49-14,269,275.9,0
2023-03-17-18-49-14,255,277.9,0
2023-03-17-18-49-14,249,277.7,0
2023-03-17-18-49-14,246,275.3,0
2023-03-17-18-49-14,249,271.6,0
2023-03-17-18-49-14,248,267.1,0
2023-03-17-18-49-14,249,262.7,0
2023-03-17-18-49-14,252,258.4,0
2023-03-17-18-49-14,252,255,0
2023-03-17-18-49-14,252,252.1,0
2023-03-17-18-49-14,246,249.8,0
2023-03-17-18-49-14,245,248.8,0
2023-03-17-18-49-14,249,248.8,0
2023-03-17-18-49-14,261,250.3,0
2023-03-17-18-49-14,272,252.6,0
2023-03-17-18-49-14,277,255.5,0
2023-03-17-18-49-14,282,258.8,0
2023-03-17-18-49-14,298,263.4,0
2023-03-17-18-49-14,316,269.8,0
2023-03-17-18-49-14,328,277.4,0
2023-03-17-18-49-14,319,284.7,0
2023-03-17-18-49-14,299,290.1,0
2023-03-17-18-49-14,281,293.3,0
2023-03-17-18-49-15,273,294.5,0
2023-03-17-18-49-15,269,294.2,0
2023-03-17-18-49-15,251,291.6,0
2023-03-17-18-49-15,240,287.4,0
2023-03-17-18-49-15,234,281,0
2023-03-17-18-49-15,246,274,0
2023-03-17-18-49-15,268,268,0
2023-03-17-18-49-15,287,264.8,0
2023-03-17-18-49-15,313,266.2,0
2023-03-17-18-49-15,324,270.5,0
2023-03-17-18-49-15,328,276,0
2023-03-17-18-49-15,333,282.4,0
2023-03-17-18-49-15,357,293,0
2023-03-17-18-49-15,416,310.6,0
2023-03-17-18-49-15,476,334.8,0
2023-03-17-18-49-15,457,355.9,0
2023-03-17-18-49-15,369,366,0
2023-03-17-18-49-15,238,361.1,0
2023-03-17-18-49-15,209,361.1,0
2023-03-17-18-49-15,193,361.1,0
2023-03-17-18-49-15,190,361.1,0
2023-03-17-18-49-15,121,361.1,0
2023-03-17-18-49-15,7,361.1,0
2023-03-17-18-49-15,19,361.1,0
2023-03-17-18-49-15,106,361.1,0
2023-03-17-18-49-15,271,361.1,0
2023-03-17-18-49-15,343,361.1,0
2023-03-17-18-49-16,378,361.1,1
2023-03-17-18-49-16,391,361.1,0
2023-03-17-18-49-16,393,361.1,0
2023-03-17-18-49-16,468,361.1,0
2023-03-17-18-49-16,532,361.1,0
2023-03-17-18-49-16,540,361.1,0
2023-03-17-18-49-16,465,361.1,0
2023-03-17-18-49-16,364,361.1,0
2023-03-17-18-49-16,271,361.1,0
2023-03-17-18-49-16,195,361.1,0
2023-03-17-18-49-16,176,361.1,0
2023-03-17-18-49-16,148,361.1,0
2023-03-17-18-49-16,106,361.1,0
2023-03-17-18-49-16,114,361.1,0
2023-03-17-18-49-16,169,361.1,0
2023-03-17-18-49-16,254,361.1,0
2023-03-17-18-49-16,343,364.1,0
2023-03-17-18-49-16,398,371.5,0
2023-03-17-18-49-16,432,381.9,0
2023-03-17-18-49-16,417,390.3,0
2023-03-17-18-49-16,377,392.3,0
2023-03-17-18-49-16,314,382.1,0
2023-03-17-18-49-16,252,359.7,0
2023-03-17-18-49-16,196,359.7,0
2023-03-17-18-49-16,159,359.7,0
2023-03-17-18-49-16,137,359.7,0
2023-03-17-18-49-16,122,359.7,0
2023-03-17-18-49-16,134,359.7,0
2023-03-17-18-49-17,153,359.7,0
2023-03-17-18-49-17,184,359.7,0
2023-03-17-18-49-17,222,359.7,0
2023-03-17-18-49-17,256,359.7,0
2023-03-17-18-49-17,275,359.7,0
2023-03-17-18-49-17,254,359.7,0
2023-03-17-18-49-17,238,359.7,0
2023-03-17-18-49-17,228,359.7,0
2023-03-17-18-49-17,231,359.7,0
2023-03-17-18-49-17,232,359.7,0
2023-03-17-18-49-17,228,359.7,0
2023-03-17-18-49-17,218,359.7,0
2023-03-17-18-49-17,217,359.7,0
2023-03-17-18-49-17,252,359.7,0
2023-03-17-18-49-17,280,359.7,0
2023-03-17-18-49-17,294,359.7,0
2023-03-17-18-49-17,284,359.7,0
2023-03-17-18-49-17,268,359.7,0
2023-03-17-18-49-17,265,359.7,0
2023-03-17-18-49-17,280,359.7,0
2023-03-17-18-49-17,295,359.7,0
2023-03-17-18-49-17,288,359.7,0
2023-03-17-18-49-17,268,359.7,0
2023-03-17-18-49-17,250,359.7,0
2023-03-17-18-49-17,254,359.7,0
2023-03-17-18-49-17,280,359.7,0
2023-03-17-18-49-18,301,359.7,0
2023-03-17-18-49-18,298,359.7,0
2023-03-17-18-49-18,282,359.7,0
2023-03-17-18-49-18,275,359.7,0
2023-03-17-18-49-18,284,359.7,0
2023-03-17-18-49-18,307,359.7,0
2023-03-17-18-49-18,319,359.7,0
2023-03-17-18-49-18,308,359.7,0
2023-03-17-18-49-18,283,359.7,0
2023-03-17-18-49-18,275,341.5,0
2023-03-17-18-49-18,274,332,0
2023-03-17-18-49-18,280,336.2,0
2023-03-17-18-49-18,286,330.5,0
2023-03-17-18-49-18,284,319.1,0
2023-03-17-18-49-18,254,301.3,0
2023-03-17-18-49-18,225,282.1,0
2023-03-17-18-49-18,228,267.2,0
2023-03-17-18-49-19,243,260.1,0
2023-03-17-18-49-19,254,260.3,0
2023-03-17-18-49-19,264,259.2,0
2023-03-17-18-49-19,272,259,0
2023-03-17-18-49-19,264,257.4,0
2023-03-17-18-49-19,264,255.2,0
2023-03-17-18-49-19,292,256,0
2023-03-17-18-49-19,313,261.9,0
2023-03-17-18-49-19,308,270.2,0
2023-03-17-18-49-19,291,276.5,0
2023-03-17-18-49-19,279,280.1,0
2023-03-17-18-49-19,267,281.4,0
2023-03-17-18-49-19,275,282.5,0
2023-03-17-18-49-19,314,286.7,0
2023-03-17-18-49-19,342,294.5,0
2023-03-17-18-49-19,344,302.5,0
2023-03-17-18-49-20,317,305,0
2023-03-17-18-49-20,306,304.3,0
2023-03-17-18-49-20,317,305.2,0
2023-03-17-18-49-20,332,309.3,0
2023-03-17-18-49-20,342,315.6,0
2023-03-17-18-49-20,341,323,0
2023-03-17-18-49-20,279,323.4,0
2023-03-17-18-49-20,230,315,0
2023-03-17-18-49-20,233,304.1,0
2023-03-17-18-49-20,245,294.2,0
2023-03-17-18-49-20,244,286.9,0
2023-03-17-18-49-20,231,279.4,0
2023-03-17-18-49-20,214,269.1,0
2023-03-17-18-49-20,192,255.1,0
2023-03-17-18-49-20,211,242,0
2023-03-17-18-49-20,228,230.7,0
2023-03-17-18-49-20,236,226.4,0
2023-03-17-18-49-21,230,226.4,0
2023-03-17-18-49-21,222,225.3,0
2023-03-17-18-49-21,215,222.3,0
2023-03-17-18-49-21,209,218.8,0
2023-03-17-18-49-21,217,217.4,0
2023-03-17-18-49-21,232,219.2,0
2023-03-17-18-49-21,222,222.2,0
2023-03-17-18-49-21,203,221.4,0
2023-03-17-18-49-21,204,219,0
2023-03-17-18-49-21,207,216.1,0
2023-03-17-18-49-21,218,214.9,0
2023-03-17-18-49-21,236,216.3,0
2023-03-17-18-49-21,232,218,0
2023-03-17-18-49-21,202,217.3,0
2023-03-17-18-49-21,198,215.4,0
2023-03-17-18-49-21,214,213.6,0
2023-03-17-18-49-21,235,214.9,0
2023-03-17-18-49-22,247,219.3,0
2023-03-17-18-49-22,245,223.4,0
2023-03-17-18-49-22,231,225.8,0
2023-03-17-18-49-22,228,226.8,0
2023-03-17-18-49-22,249,228.1,0
2023-03-17-18-49-22,253,230.2,0
2023-03-17-18-49-22,242,234.2,0
2023-03-17-18-49-22,203,234.7,0
2023-03-17-18-49-22,160,229.3,0
2023-03-17-18-49-22,131,218.9,0
2023-03-17-18-49-22,104,204.6,0
2023-03-17-18-49-22,70,204.6,0
2023-03-17-18-49-22,37,204.6,0
2023-03-17-18-49-22,13,204.6,0
2023-03-17-18-49-22,-3,204.6,0
2023-03-17-18-49-22,-10,204.6,0
2023-03-17-18-49-22,-21,204.6,0
2023-03-17-18-49-22,-15,204.6,0
2023-03-17-18-49-23,8,204.6,0
2023-03-17-18-49-23,54,204.6,0
2023-03-17-18-49-23,108,204.6,0
2023-03-17-18-49-23,160,204.6,0
2023-03-17-18-49-23,202,204.6,1
2023-03-17-18-49-23,235,204.6,0
2023-03-17-18-49-23,275,204.6,0
2023-03-17-18-49-23,311,204.6,0
2023-03-17-18-49-23,342,204.6,0
2023-03-17-18-49-23,363,204.6,0
2023-03-17-18-49-23,371,204.6,0
2023-03-17-18-49-23,309,204.6,0
2023-03-17-18-49-23,262,204.6,0
2023-03-17-18-49-23,264,204.6,0
2023-03-17-18-49-23,351,204.6,0
2023-03-17-18-49-23,420,204.6,0
2023-03-17-18-49-23,416,204.6,0
2023-03-17-18-49-24,333,204.6,0
2023-03-17-18-49-24,234,204.6,0
2023-03-17-18-49-24,296,204.6,0
2023-03-17-18-49-24,442,224.3,0
2023-03-17-18-49-24,496,250.8,0
2023-03-17-18-49-24,406,268.6,0
2023-03-17-18-49-24,302,273.9,0
2023-03-17-18-49-24,294,278,0
2023-03-17-18-49-24,374,291.2,0
2023-03-17-18-49-24,487,319.6,0
2023-03-17-18-49-24,533,356.9,0
2023-03-17-18-49-24,461,389.9,0
2023-03-17-18-49-24,425,422,0
2023-03-17-18-49-24,445,422.3,0
2023-03-17-18-49-24,491,421.8,0
2023-03-17-18-49-24,518,433,0
2023-03-17-18-49-24,514,454.2,0
2023-03-17-18-49-25,479,472.7,0
2023-03-17-18-49-25,415,476.8,0
2023-03-17-18-49-25,373,465.4,0
2023-03-17-18-49-25,351,447.2,0
2023-03-17-18-49-25,328,433.9,0
2023-03-17-18-49-25,297,433.9,0
2023-03-17-18-49-25,260,433.9,0
2023-03-17-18-49-25,237,433.9,0
2023-03-17-18-49-25,241,433.9,0
2023-03-17-18-49-25,240,433.9,0
2023-03-17-18-49-25,234,433.9,0
2023-03-17-18-49-25,217,433.9,0
2023-03-17-18-49-25,194,433.9,0
2023-03-17-18-49-25,166,433.9,0
2023-03-17-18-49-25,115,433.9,0
2023-03-17-18-49-25,104,433.9,0
2023-03-17-18-49-25,125,433.9,0
2023-03-17-18-49-26,133,433.9,0
2023-03-17-18-49-26,94,433.9,0
2023-03-17-18-49-26,107,433.9,0
2023-03-17-18-49-26,97,433.9,0
2023-03-17-18-49-26,96,433.9,0
2023-03-17-18-49-26,140,433.9,0
2023-03-17-18-49-26,149,433.9,0
2023-03-17-18-49-26,104,433.9,0
2023-03-17-18-49-26,92,433.9,0
2023-03-17-18-49-26,131,433.9,0
2023-03-17-18-49-26,122,433.9,0
2023-03-17-18-49-26,154,433.9,0
2023-03-17-18-49-26,177,433.9,0
2023-03-17-18-49-26,165,433.9,0
2023-03-17-18-49-26,160,433.9,0
2023-03-17-18-49-26,173,433.9,0
2023-03-17-18-49-27,193,433.9,0
2023-03-17-18-49-27,209,433.9,0
2023-03-17-18-49-27,221,433.9,0
2023-03-17-18-49-27,224,433.9,0
2023-03-17-18-49-27,230,433.9,0
2023-03-17-18-49-27,255,433.9,0
2023-03-17-18-49-27,268,433.9,0
2023-03-17-18-49-27,278,433.9,0
2023-03-17-18-49-27,274,433.9,0
2023-03-17-18-49-27,274,433.9,0
2023-03-17-18-49-27,249,433.9,0
2023-03-17-18-49-27,245,433.9,0
2023-03-17-18-49-27,252,416.6,0
2023-03-17-18-49-27,250,416.6,0
2023-03-17-18-49-27,246,416.6,0
2023-03-17-18-49-27,239,416.6,0
2023-03-17-18-49-27,232,416.6,0
2023-03-17-18-49-27,232,416.6,0
2023-03-17-18-49-28,268,416.6,0
2023-03-17-18-49-28,272,416.6,0
2023-03-17-18-49-28,256,416.6,0
2023-03-17-18-49-28,257,416.6,0
2023-03-17-18-49-28,263,416.6,0
2023-03-17-18-49-28,262,416.6,0
2023-03-17-18-49-28,264,416.6,0
2023-03-17-18-49-28,259,416.6,0
2023-03-17-18-49-28,259,416.6,0
2023-03-17-18-49-28,266,416.6,0
2023-03-17-18-49-28,272,416.6,0
2023-03-17-18-49-28,258,416.6,0
2023-03-17-18-49-28,248,416.6,0
2023-03-17-18-49-28,260,416.6,0
2023-03-17-18-49-28,275,416.6,0
2023-03-17-18-49-28,288,416.6,0
2023-03-17-18-49-28,281,416.6,0
2023-03-17-18-49-28,269,416.6,0
2023-03-17-18-49-29,280,416.6,0
2023-03-17-18-49-29,293,416.6,0
2023-03-17-18-49-29,306,416.6,0
