Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-46-21,294,225.1,0
2023-03-17-18-46-21,300,225.1,0
2023-03-17-18-46-21,305,230,0
2023-03-17-18-46-21,307,230.8,0
2023-03-17-18-46-21,314,234.2,0
2023-03-17-18-46-22,310,240.4,0
2023-03-17-18-46-22,308,249.2,0
2023-03-17-18-46-22,304,258.4,0
2023-03-17-18-46-22,284,264.6,0
2023-03-17-18-46-22,256,267.7,0
2023-03-17-18-46-22,251,276.2,0
2023-03-17-18-46-22,234,287.3,0
2023-03-17-18-46-22,207,277.5,0
2023-03-17-18-46-22,222,269,0
2023-03-17-18-46-22,266,264.2,0
2023-03-17-18-46-22,310,264.2,0
2023-03-17-18-46-22,392,272.6,0
2023-03-17-18-46-22,384,280.6,0
2023-03-17-18-46-22,273,279.5,0
2023-03-17-18-46-22,227,276.6,0
2023-03-17-18-46-22,244,275.9,0
2023-03-17-18-46-22,267,279.2,0
2023-03-17-18-46-23,301,288.6,0
2023-03-17-18-46-23,327,299.1,0
2023-03-17-18-46-23,253,297.8,0
2023-03-17-18-46-23,237,290.5,0
2023-03-17-18-46-23,304,281.7,0
2023-03-17-18-46-23,328,276.1,0
2023-03-17-18-46-23,294,278.2,0
2023-03-17-18-46-23,233,278.8,0
2023-03-17-18-46-23,153,269.7,0
2023-03-17-18-46-23,99,269.7,0
2023-03-17-18-46-23,125,269.7,0
2023-03-17-18-46-23,178,269.7,0
2023-03-17-18-46-23,214,269.7,0
2023-03-17-18-46-23,234,269.7,0
2023-03-17-18-46-23,252,269.7,0
2023-03-17-18-46-23,259,269.7,1
2023-03-17-18-46-23,257,269.7,0
2023-03-17-18-46-24,247,269.7,0
2023-03-17-18-46-24,228,269.7,0
2023-03-17-18-46-24,211,269.7,0
2023-03-17-18-46-24,208,269.7,0
2023-03-17-18-46-24,220,269.7,0
2023-03-17-18-46-24,230,269.7,0
2023-03-17-18-46-24,235,269.7,0
2023-03-17-18-46-24,238,269.7,0
2023-03-17-18-46-24,234,269.7,0
2023-03-17-18-46-24,228,269.7,0
2023-03-17-18-46-24,223,269.7,0
2023-03-17-18-46-24,219,269.7,0
2023-03-17-18-46-24,213,269.7,0
2023-03-17-18-46-24,214,269.7,0
2023-03-17-18-46-24,221,265.1,0
2023-03-17-18-46-24,220,257,0
2023-03-17-18-46-24,221,246.4,0
2023-03-17-18-46-24,220,243.1,0
2023-03-17-18-46-24,217,241.1,0
2023-03-17-18-46-25,211,231.8,0
2023-03-17-18-46-25,214,220.4,0
2023-03-17-18-46-25,208,211.8,0
2023-03-17-18-46-25,208,209.3,0
2023-03-17-18-46-25,195,213.5,0
2023-03-17-18-46-25,180,209.4,0
2023-03-17-18-46-25,181,205.5,0
2023-03-17-18-46-25,188,202.2,0
2023-03-17-18-46-25,197,199.9,0
2023-03-17-18-46-25,185,196.7,0
